14:20:09.440 -> Temperature: 22.06⸮C  |  71.71⸮F
14:43:41.401 -> Temperature: 32.25⸮C  |  90.05⸮F
14:43:42.577 -> Temperature: 32.25⸮C  |  90.05⸮F
14:43:43.731 -> Temperature: 32.31⸮C  |  90.16⸮F
14:43:44.922 -> Temperature: 32.19⸮C  |  89.94⸮F
14:43:46.083 -> Temperature: 32.13⸮C  |  89.82⸮F
14:43:47.251 -> Temperature: 32.00⸮C  |  89.60⸮F
14:43:48.441 -> Temperature: 31.94⸮C  |  89.49⸮F
14:43:49.608 -> Temperature: 31.87⸮C  |  89.37⸮F
14:43:50.772 -> Temperature: 31.75⸮C  |  89.15⸮F
14:43:51.966 -> Temperature: 31.81⸮C  |  89.26⸮F
14:43:53.132 -> Temperature: 31.87⸮C  |  89.37⸮F
14:43:54.288 -> Temperature: 32.00⸮C  |  89.60⸮F
14:43:55.485 -> Temperature: 32.00⸮C  |  89.60⸮F
14:43:56.643 -> Temperature: 32.00⸮C  |  89.60⸮F
14:43:57.797 -> Temperature: 31.94⸮C  |  89.49⸮F
14:43:58.994 -> Temperature: 31.94⸮C  |  89.49⸮F
14:44:00.170 -> Temperature: 31.94⸮C  |  89.49⸮F
14:44:01.344 -> Temperature: 31.94⸮C  |  89.49⸮F
14:44:02.501 -> Temperature: 31.94⸮C  |  89.49⸮F
14:44:03.664 -> Temperature: 32.06⸮C  |  89.71⸮F
14:44:04.860 -> Temperature: 32.06⸮C  |  89.71⸮F
14:44:06.022 -> Temperature: 32.13⸮C  |  89.82⸮F
14:44:07.181 -> Temperature: 32.13⸮C  |  89.82⸮F
14:44:08.373 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:09.534 -> Temperature: 32.13⸮C  |  89.82⸮F
14:44:10.719 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:11.883 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:13.046 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:14.230 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:15.416 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:16.584 -> Temperature: 32.19⸮C  |  89.94⸮F
14:44:17.755 -> Temperature: 32.25⸮C  |  90.05⸮F
14:44:18.913 -> Temperature: 32.31⸮C  |  90.16⸮F
14:44:20.105 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:21.267 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:22.435 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:23.600 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:24.786 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:25.953 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:27.113 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:28.285 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:29.484 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:30.634 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:31.828 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:32.981 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:34.166 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:35.327 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:36.495 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:37.684 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:38.867 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:40.020 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:41.210 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:42.362 -> Temperature: 32.31⸮C  |  90.16⸮F
14:44:43.522 -> Temperature: 32.31⸮C  |  90.16⸮F
14:44:44.727 -> Temperature: 32.25⸮C  |  90.05⸮F
14:44:45.894 -> Temperature: 32.25⸮C  |  90.05⸮F
14:44:47.059 -> Temperature: 32.25⸮C  |  90.05⸮F
14:44:48.216 -> Temperature: 32.38⸮C  |  90.27⸮F
14:44:49.414 -> Temperature: 32.44⸮C  |  90.39⸮F
14:44:50.579 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:51.762 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:52.921 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:54.081 -> Temperature: 32.50⸮C  |  90.50⸮F
14:44:55.282 -> Temperature: 32.56⸮C  |  90.61⸮F
14:44:56.444 -> Temperature: 32.63⸮C  |  90.72⸮F
14:44:57.602 -> Temperature: 32.75⸮C  |  90.95⸮F
14:44:58.799 -> Temperature: 32.88⸮C  |  91.18⸮F
14:44:59.956 -> Temperature: 32.94⸮C  |  91.29⸮F
14:45:01.123 -> Temperature: 33.06⸮C  |  91.51⸮F
14:45:02.285 -> Temperature: 33.00⸮C  |  91.40⸮F
14:45:03.475 -> Temperature: 32.94⸮C  |  91.29⸮F
14:45:04.641 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:05.807 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:07.003 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:08.167 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:09.322 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:10.512 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:11.671 -> Temperature: 32.75⸮C  |  90.95⸮F
14:45:12.862 -> Temperature: 32.69⸮C  |  90.84⸮F
14:45:14.016 -> Temperature: 32.69⸮C  |  90.84⸮F
14:45:15.209 -> Temperature: 32.69⸮C  |  90.84⸮F
14:45:16.371 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:17.525 -> Temperature: 32.56⸮C  |  90.61⸮F
14:45:18.714 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:19.900 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:21.056 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:22.221 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:23.410 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:24.574 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:25.739 -> Temperature: 32.56⸮C  |  90.61⸮F
14:45:26.905 -> Temperature: 32.50⸮C  |  90.50⸮F
14:45:28.087 -> Temperature: 32.50⸮C  |  90.50⸮F
14:45:29.277 -> Temperature: 32.56⸮C  |  90.61⸮F
14:45:30.439 -> Temperature: 32.63⸮C  |  90.72⸮F
14:45:31.595 -> Temperature: 32.69⸮C  |  90.84⸮F
14:45:32.784 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:33.942 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:35.135 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:36.302 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:37.490 -> Temperature: 32.75⸮C  |  90.95⸮F
14:45:38.644 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:39.805 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:40.977 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:42.150 -> Temperature: 32.75⸮C  |  90.95⸮F
14:45:43.344 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:44.504 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:45.674 -> Temperature: 32.94⸮C  |  91.29⸮F
14:45:46.869 -> Temperature: 32.94⸮C  |  91.29⸮F
14:45:48.024 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:49.186 -> Temperature: 32.75⸮C  |  90.95⸮F
14:45:50.370 -> Temperature: 32.75⸮C  |  90.95⸮F
14:45:51.553 -> Temperature: 32.75⸮C  |  90.95⸮F
14:45:52.713 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:53.880 -> Temperature: 32.81⸮C  |  91.06⸮F
14:45:55.066 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:56.219 -> Temperature: 32.94⸮C  |  91.29⸮F
14:45:57.396 -> Temperature: 32.94⸮C  |  91.29⸮F
14:45:58.587 -> Temperature: 32.88⸮C  |  91.18⸮F
14:45:59.742 -> Temperature: 32.88⸮C  |  91.18⸮F
14:46:00.932 -> Temperature: 32.88⸮C  |  91.18⸮F
14:46:02.099 -> Temperature: 33.00⸮C  |  91.40⸮F
14:46:03.272 -> Temperature: 33.00⸮C  |  91.40⸮F
14:46:04.436 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:05.606 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:06.778 -> Temperature: 33.13⸮C  |  91.62⸮F
14:46:07.943 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:09.127 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:10.290 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:11.484 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:12.645 -> Temperature: 33.13⸮C  |  91.62⸮F
14:46:13.834 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:15.004 -> Temperature: 33.13⸮C  |  91.62⸮F
14:46:16.178 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:17.345 -> Temperature: 33.13⸮C  |  91.62⸮F
14:46:18.499 -> Temperature: 33.13⸮C  |  91.62⸮F
14:46:19.687 -> Temperature: 33.13⸮C  |  91.62⸮F
14:46:20.853 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:22.028 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:23.188 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:24.382 -> Temperature: 33.06⸮C  |  91.51⸮F
14:46:25.542 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:26.717 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:27.876 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:29.058 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:30.227 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:31.407 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:32.576 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:33.735 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:34.926 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:36.085 -> Temperature: 33.19⸮C  |  91.74⸮F
14:46:37.276 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:38.438 -> Temperature: 33.25⸮C  |  91.85⸮F
14:46:39.616 -> Temperature: 33.31⸮C  |  91.96⸮F
14:46:40.778 -> Temperature: 33.38⸮C  |  92.07⸮F
14:46:41.971 -> Temperature: 33.38⸮C  |  92.07⸮F
14:46:43.134 -> Temperature: 33.31⸮C  |  91.96⸮F
14:46:44.313 -> Temperature: 33.38⸮C  |  92.07⸮F
14:46:45.474 -> Temperature: 33.38⸮C  |  92.07⸮F
14:46:46.639 -> Temperature: 33.44⸮C  |  92.19⸮F
14:46:47.838 -> Temperature: 33.44⸮C  |  92.19⸮F
14:46:48.999 -> Temperature: 33.44⸮C  |  92.19⸮F
14:46:50.155 -> Temperature: 33.44⸮C  |  92.19⸮F
14:46:51.353 -> Temperature: 33.44⸮C  |  92.19⸮F
14:46:52.512 -> Temperature: 33.56⸮C  |  92.41⸮F
14:46:53.676 -> Temperature: 33.63⸮C  |  92.52⸮F
14:46:54.869 -> Temperature: 33.63⸮C  |  92.52⸮F
14:46:56.032 -> Temperature: 33.63⸮C  |  92.52⸮F
14:46:57.196 -> Temperature: 33.56⸮C  |  92.41⸮F
14:46:58.392 -> Temperature: 33.50⸮C  |  92.30⸮F
14:46:59.550 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:00.722 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:01.891 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:03.056 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:04.256 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:05.417 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:06.586 -> Temperature: 33.38⸮C  |  92.07⸮F
14:47:07.744 -> Temperature: 33.38⸮C  |  92.07⸮F
14:47:08.929 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:10.088 -> Temperature: 33.44⸮C  |  92.19⸮F
14:47:11.285 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:12.451 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:13.603 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:14.783 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:15.980 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:17.140 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:18.295 -> Temperature: 33.63⸮C  |  92.52⸮F
14:47:19.496 -> Temperature: 33.69⸮C  |  92.64⸮F
14:47:20.665 -> Temperature: 33.69⸮C  |  92.64⸮F
14:47:21.829 -> Temperature: 33.69⸮C  |  92.64⸮F
14:47:22.986 -> Temperature: 33.69⸮C  |  92.64⸮F
14:47:24.175 -> Temperature: 33.69⸮C  |  92.64⸮F
14:47:25.338 -> Temperature: 33.75⸮C  |  92.75⸮F
14:47:26.532 -> Temperature: 33.75⸮C  |  92.75⸮F
14:47:27.690 -> Temperature: 33.81⸮C  |  92.86⸮F
14:47:28.859 -> Temperature: 33.81⸮C  |  92.86⸮F
14:47:30.032 -> Temperature: 33.75⸮C  |  92.75⸮F
14:47:31.195 -> Temperature: 33.75⸮C  |  92.75⸮F
14:47:32.393 -> Temperature: 33.81⸮C  |  92.86⸮F
14:47:33.554 -> Temperature: 33.94⸮C  |  93.09⸮F
14:47:34.716 -> Temperature: 34.00⸮C  |  93.20⸮F
14:47:35.899 -> Temperature: 34.00⸮C  |  93.20⸮F
14:47:37.085 -> Temperature: 34.00⸮C  |  93.20⸮F
14:47:38.242 -> Temperature: 34.00⸮C  |  93.20⸮F
14:47:39.415 -> Temperature: 33.88⸮C  |  92.97⸮F
14:47:40.576 -> Temperature: 33.75⸮C  |  92.75⸮F
14:47:41.763 -> Temperature: 33.63⸮C  |  92.52⸮F
14:47:42.951 -> Temperature: 33.56⸮C  |  92.41⸮F
14:47:44.114 -> Temperature: 33.63⸮C  |  92.52⸮F
14:47:45.285 -> Temperature: 33.75⸮C  |  92.75⸮F
14:47:46.447 -> Temperature: 33.81⸮C  |  92.86⸮F
14:47:47.625 -> Temperature: 33.88⸮C  |  92.97⸮F
14:47:48.811 -> Temperature: 34.00⸮C  |  93.20⸮F
14:47:49.971 -> Temperature: 34.06⸮C  |  93.31⸮F
14:47:51.130 -> Temperature: 34.06⸮C  |  93.31⸮F
14:47:52.322 -> Temperature: 34.13⸮C  |  93.43⸮F
14:47:53.484 -> Temperature: 34.13⸮C  |  93.43⸮F
14:47:54.673 -> Temperature: 34.06⸮C  |  93.31⸮F
14:47:55.829 -> Temperature: 33.94⸮C  |  93.09⸮F
14:47:57.020 -> Temperature: 34.00⸮C  |  93.20⸮F
14:47:58.183 -> Temperature: 33.94⸮C  |  93.09⸮F
14:47:59.353 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:00.511 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:01.707 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:02.869 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:04.055 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:05.218 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:06.382 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:07.572 -> Temperature: 34.06⸮C  |  93.31⸮F
14:48:08.722 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:09.892 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:11.066 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:12.236 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:13.426 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:14.606 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:15.778 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:16.938 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:18.095 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:19.288 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:20.448 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:21.632 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:22.785 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:23.978 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:25.146 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:26.317 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:27.475 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:28.671 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:29.836 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:30.999 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:32.185 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:33.347 -> Temperature: 34.00⸮C  |  93.20⸮F
14:48:34.536 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:35.694 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:36.855 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:38.047 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:39.208 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:40.391 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:41.551 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:42.727 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:43.896 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:45.094 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:46.256 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:47.425 -> Temperature: 33.94⸮C  |  93.09⸮F
14:48:48.580 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:49.772 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:50.928 -> Temperature: 33.75⸮C  |  92.75⸮F
14:48:52.124 -> Temperature: 33.69⸮C  |  92.64⸮F
14:48:53.289 -> Temperature: 33.75⸮C  |  92.75⸮F
14:48:54.449 -> Temperature: 33.81⸮C  |  92.86⸮F
14:48:55.613 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:56.789 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:57.983 -> Temperature: 33.88⸮C  |  92.97⸮F
14:48:59.131 -> Temperature: 33.88⸮C  |  92.97⸮F
14:49:00.305 -> Temperature: 33.94⸮C  |  93.09⸮F
14:49:01.497 -> Temperature: 33.94⸮C  |  93.09⸮F
14:49:02.658 -> Temperature: 33.88⸮C  |  92.97⸮F
14:49:03.848 -> Temperature: 33.88⸮C  |  92.97⸮F
14:49:05.015 -> Temperature: 33.88⸮C  |  92.97⸮F
14:49:06.182 -> Temperature: 33.94⸮C  |  93.09⸮F
14:49:07.354 -> Temperature: 34.00⸮C  |  93.20⸮F
14:49:08.512 -> Temperature: 34.06⸮C  |  93.31⸮F
14:49:09.714 -> Temperature: 34.13⸮C  |  93.43⸮F
14:49:10.872 -> Temperature: 34.13⸮C  |  93.43⸮F
14:49:12.033 -> Temperature: 34.06⸮C  |  93.31⸮F
14:49:13.227 -> Temperature: 34.06⸮C  |  93.31⸮F
14:49:14.400 -> Temperature: 34.06⸮C  |  93.31⸮F
14:49:15.567 -> Temperature: 34.06⸮C  |  93.31⸮F
14:49:16.743 -> Temperature: 34.13⸮C  |  93.43⸮F
14:49:17.893 -> Temperature: 34.19⸮C  |  93.54⸮F
14:49:19.085 -> Temperature: 34.31⸮C  |  93.76⸮F
14:49:20.250 -> Temperature: 34.38⸮C  |  93.87⸮F
14:49:21.442 -> Temperature: 34.31⸮C  |  93.76⸮F
14:49:22.599 -> Temperature: 34.25⸮C  |  93.65⸮F
14:49:23.761 -> Temperature: 34.25⸮C  |  93.65⸮F
14:49:24.933 -> Temperature: 34.19⸮C  |  93.54⸮F
14:49:26.133 -> Temperature: 34.19⸮C  |  93.54⸮F
14:49:27.289 -> Temperature: 34.19⸮C  |  93.54⸮F
14:49:28.452 -> Temperature: 34.25⸮C  |  93.65⸮F
14:49:29.644 -> Temperature: 34.31⸮C  |  93.76⸮F
14:49:30.799 -> Temperature: 34.31⸮C  |  93.76⸮F
14:49:31.991 -> Temperature: 34.38⸮C  |  93.87⸮F
14:49:33.161 -> Temperature: 34.44⸮C  |  93.99⸮F
14:49:34.316 -> Temperature: 34.44⸮C  |  93.99⸮F
14:49:35.509 -> Temperature: 34.44⸮C  |  93.99⸮F
14:49:36.664 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:37.831 -> Temperature: 34.56⸮C  |  94.21⸮F
14:49:39.003 -> Temperature: 34.63⸮C  |  94.32⸮F
14:49:40.172 -> Temperature: 34.69⸮C  |  94.44⸮F
14:49:41.366 -> Temperature: 34.69⸮C  |  94.44⸮F
14:49:42.526 -> Temperature: 34.69⸮C  |  94.44⸮F
14:49:43.716 -> Temperature: 34.63⸮C  |  94.32⸮F
14:49:44.877 -> Temperature: 34.63⸮C  |  94.32⸮F
14:49:46.049 -> Temperature: 34.56⸮C  |  94.21⸮F
14:49:47.221 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:48.383 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:49.577 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:50.736 -> Temperature: 34.56⸮C  |  94.21⸮F
14:49:51.897 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:53.075 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:54.265 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:55.423 -> Temperature: 34.44⸮C  |  93.99⸮F
14:49:56.598 -> Temperature: 34.44⸮C  |  93.99⸮F
14:49:57.763 -> Temperature: 34.50⸮C  |  94.10⸮F
14:49:58.952 -> Temperature: 34.50⸮C  |  94.10⸮F
14:50:00.112 -> Temperature: 34.56⸮C  |  94.21⸮F
14:50:01.302 -> Temperature: 34.56⸮C  |  94.21⸮F
14:50:02.471 -> Temperature: 34.69⸮C  |  94.44⸮F
14:50:03.637 -> Temperature: 34.69⸮C  |  94.44⸮F
14:50:04.813 -> Temperature: 34.56⸮C  |  94.21⸮F
14:50:05.968 -> Temperature: 34.50⸮C  |  94.10⸮F
14:50:07.150 -> Temperature: 34.44⸮C  |  93.99⸮F
14:50:08.341 -> Temperature: 34.38⸮C  |  93.87⸮F
14:50:09.517 -> Temperature: 34.38⸮C  |  93.87⸮F
14:50:10.677 -> Temperature: 34.31⸮C  |  93.76⸮F
14:50:11.846 -> Temperature: 34.38⸮C  |  93.87⸮F
14:50:13.015 -> Temperature: 34.38⸮C  |  93.87⸮F
14:50:14.176 -> Temperature: 34.44⸮C  |  93.99⸮F
14:50:15.365 -> Temperature: 34.38⸮C  |  93.87⸮F
14:50:16.527 -> Temperature: 34.31⸮C  |  93.76⸮F
14:50:17.725 -> Temperature: 34.31⸮C  |  93.76⸮F
14:50:18.889 -> Temperature: 34.38⸮C  |  93.87⸮F
14:50:20.046 -> Temperature: 34.44⸮C  |  93.99⸮F
14:50:21.240 -> Temperature: 34.50⸮C  |  94.10⸮F
14:50:22.398 -> Temperature: 34.56⸮C  |  94.21⸮F
14:50:23.565 -> Temperature: 34.63⸮C  |  94.32⸮F
14:50:24.734 -> Temperature: 34.69⸮C  |  94.44⸮F
14:50:25.914 -> Temperature: 34.81⸮C  |  94.66⸮F
14:50:27.077 -> Temperature: 34.81⸮C  |  94.66⸮F
14:50:28.278 -> Temperature: 34.81⸮C  |  94.66⸮F
14:50:29.448 -> Temperature: 34.81⸮C  |  94.66⸮F
14:50:30.611 -> Temperature: 34.81⸮C  |  94.66⸮F
14:50:31.771 -> Temperature: 34.88⸮C  |  94.77⸮F
14:50:32.940 -> Temperature: 34.88⸮C  |  94.77⸮F
14:50:34.110 -> Temperature: 34.88⸮C  |  94.77⸮F
14:50:35.301 -> Temperature: 34.94⸮C  |  94.89⸮F
14:50:36.463 -> Temperature: 34.88⸮C  |  94.77⸮F
14:50:37.627 -> Temperature: 34.75⸮C  |  94.55⸮F
14:50:38.827 -> Temperature: 34.75⸮C  |  94.55⸮F
14:50:39.982 -> Temperature: 34.75⸮C  |  94.55⸮F
14:50:41.145 -> Temperature: 34.75⸮C  |  94.55⸮F
14:50:42.342 -> Temperature: 34.69⸮C  |  94.44⸮F
14:50:43.504 -> Temperature: 34.69⸮C  |  94.44⸮F
14:50:44.697 -> Temperature: 34.75⸮C  |  94.55⸮F
14:50:45.866 -> Temperature: 34.88⸮C  |  94.77⸮F
14:50:47.030 -> Temperature: 34.94⸮C  |  94.89⸮F
14:50:48.187 -> Temperature: 35.06⸮C  |  95.11⸮F
14:50:49.370 -> Temperature: 35.06⸮C  |  95.11⸮F
14:50:50.530 -> Temperature: 35.13⸮C  |  95.22⸮F
14:50:51.697 -> Temperature: 35.06⸮C  |  95.11⸮F
14:50:52.902 -> Temperature: 35.06⸮C  |  95.11⸮F
14:50:54.061 -> Temperature: 35.00⸮C  |  95.00⸮F
14:50:55.216 -> Temperature: 35.00⸮C  |  95.00⸮F
14:50:56.403 -> Temperature: 34.94⸮C  |  94.89⸮F
14:50:57.585 -> Temperature: 34.88⸮C  |  94.77⸮F
14:50:58.733 -> Temperature: 34.75⸮C  |  94.55⸮F
14:50:59.934 -> Temperature: 34.69⸮C  |  94.44⸮F
14:51:01.103 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:02.263 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:03.480 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:04.613 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:05.780 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:06.975 -> Temperature: 34.50⸮C  |  94.10⸮F
14:51:08.135 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:09.295 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:10.482 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:11.639 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:12.828 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:14.001 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:15.162 -> Temperature: 34.69⸮C  |  94.44⸮F
14:51:16.325 -> Temperature: 34.69⸮C  |  94.44⸮F
14:51:17.513 -> Temperature: 34.69⸮C  |  94.44⸮F
14:51:18.684 -> Temperature: 34.75⸮C  |  94.55⸮F
14:51:19.845 -> Temperature: 34.81⸮C  |  94.66⸮F
14:51:21.042 -> Temperature: 34.88⸮C  |  94.77⸮F
14:51:22.202 -> Temperature: 34.88⸮C  |  94.77⸮F
14:51:23.388 -> Temperature: 34.81⸮C  |  94.66⸮F
14:51:24.548 -> Temperature: 34.81⸮C  |  94.66⸮F
14:51:25.705 -> Temperature: 34.81⸮C  |  94.66⸮F
14:51:26.893 -> Temperature: 34.75⸮C  |  94.55⸮F
14:51:28.063 -> Temperature: 34.69⸮C  |  94.44⸮F
14:51:29.227 -> Temperature: 34.69⸮C  |  94.44⸮F
14:51:30.401 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:31.593 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:32.759 -> Temperature: 34.63⸮C  |  94.32⸮F
14:51:33.919 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:35.103 -> Temperature: 34.56⸮C  |  94.21⸮F
14:51:36.266 -> Temperature: 34.50⸮C  |  94.10⸮F
14:51:37.432 -> Temperature: 34.50⸮C  |  94.10⸮F
14:51:38.626 -> Temperature: 34.50⸮C  |  94.10⸮F
14:51:39.804 -> Temperature: 34.50⸮C  |  94.10⸮F
14:51:40.956 -> Temperature: 34.44⸮C  |  93.99⸮F
